sentence_id	text	manifesto_id	party	date	majortopic_recoded_label	majortopic_recoded_score
labour-1983-1-1	To get Britain back to work.	51320_1983	51320	1983	other	0.9990943670272827
labour-1983-1-2	To rebuild our shattered industries.	51320_1983	51320	1983	Macroeconomics	0.9558930993080139
labour-1983-1-3	To get rid of the ever-growing dole queues.	51320_1983	51320	1983	other	0.9777538776397705
labour-1983-1-4	To protect and enlarge our National Health Service and our other great social services.	51320_1983	51320	1983	Health	0.9940871000289917
labour-1983-1-5	To help stop the nuclear arms race.	51320_1983	51320	1983	other	0.99899822473526
labour-1983-1-6	Here you can see what Labour is determined to do, and how we shall set about it.	51320_1983	51320	1983	other	0.9990155696868896
labour-1983-2-1	But at once the objection is raised: Can we afford it?	51320_1983	51320	1983	other	0.5437875390052795
labour-1983-2-2	Where will the money come from?	51320_1983	51320	1983	other	0.9988797307014465
labour-1983-2-3	Are we not just making promises which cannot be fulfilled?	51320_1983	51320	1983	other	0.9983797073364258
labour-1983-3-1	You will find the detailed answers here.	51320_1983	51320	1983	other	0.9975466132164001
labour-1983-3-2	But let us emphasise a few of them at once.	51320_1983	51320	1983	other	0.9978649020195007
labour-1983-4-1	The first short, sharp answer is that what Britain cannot afford is the present policy of accepting mass unemployment.	51320_1983	51320	1983	Macroeconomics	0.9966662526130676
labour-1983-5-1	Mass unemployment on the scale Mrs. Thatcher and her government have been prepared to tolerate - worse than we have ever known before and worse than any other industrial country has experienced - imposes a crushing burden on the whole community.	51320_1983	51320	1983	Macroeconomics	0.9967846870422363
labour-1983-6-1	Of course it hits hardest the young denied work altogether, and their mothers and fathers thrown out of their jobs with little chance of getting another.	51320_1983	51320	1983	other	0.9961005449295044
labour-1983-7-1	But it also hits the whole country.	51320_1983	51320	1983	other	0.9979800581932068
labour-1983-8-1	Mass unemployment costs the country £15 billion, £16 billion, £17 billion a year, astronomic figures never conceived possible before, and they move higher still every month.	51320_1983	51320	1983	Macroeconomics	0.9972888231277466
labour-1983-9-1	Mass unemployment is the main reason why most families in Britain, all but the very rich, are paying more in taxes today than they did four years ago when the Conservatives promised to cut them for everybody.	51320_1983	51320	1983	Macroeconomics	0.9970243573188782
labour-1983-10-1	Mass unemployment is the main reason why we are wasting our precious North Sea oil riches.	51320_1983	51320	1983	other	0.9990131855010986
labour-1983-10-2	Since 1979 Mrs. Thatcher's government has had the benefit of £20 billion in tax revenues from the North Sea.	51320_1983	51320	1983	other	0.9990529417991638
